SI;SP;SKL;SPT;SSP;SPL;SB;SPN;Akreditasi
100;100;79;92,5;82,5;100;100;100;A
76,67;85;73;66,25;64,17;81,25;72;78,75;B
96,67;92,5;94;80;93,33;98,75;95;86,25;A
93,33;82,5;81;92,5;91,67;91,25;96;90;A
78,33;82,5;91;96,25;88,33;88,75;95;82,5;A
91,67;92,5;93;90;75,83;95;86;85;A
95;85;75;70;64,17;81,25;89;90;B
81,67;80;85;83,75;70;86,25;78;77,5;B
75;60;68;66,25;47,5;50;77;71,25;C
81,67;82,5;89;96,25;90;95;92;90;A
86,67;82,5;76;82,5;74,17;83,75;91;82,5;B
91,67;97,5;73;81,25;65;90;89;97,5;B
75;80;60;76,25;67,5;85;67;80;B
96,67;97,5;96;91,25;96,67;100;95;98,75;A
96,67;97,5;89;86,25;96,67;100;100;97,5;A
95;92,5;95;86,25;89,17;98,75;95;92,5;A
98,33;95;92;88,75;83,33;95;97;92,5;A
100;75;93;95;90;92,5;97;90;A
91,67;85;96;83,75;83,33;100;100;96,25;A
83,33;90;97;92,5;98,33;95;90;82,5;A
83,33;87,5;76;78,75;85;95;90;85;B
91,67;87,5;66;81,25;85;95;79;92,5;B
91,67;85;80;73,75;85;92,5;78;91,25;B
85;85;89;90;93,33;96,25;90;92,5;A
85;87,5;95;77,5;92,5;90;85;87,5;A
96,67;92,5;64;87,5;83,33;93,75;81;91,25;A
96,67;80;75;83,75;81,67;87,5;87;93,75;A
73,33;82,5;77;85;76,67;90;91;80;B
88,33;80;70;71,25;65;78,75;87;83,75;B
86,67;80;76;72,5;77,5;86,25;68;76,25;B
85;80;71;76,25;64,17;83,75;74;80;B
83,33;80;54;70;70;68,75;90;88,75;B
63,33;67,5;69;78,75;74,17;82,5;94;76,25;B
70;80;56;66,25;75,83;75;89;71,25;B
81,67;75;62;61,25;65,83;90;67;86,25;B
66,67;77,5;62;61,25;56,67;68,75;48;90;C
55;62,5;68;70;60,83;66,25;63;71,25;C
50;57,5;56;66,25;63,33;63,75;60;66,25;C
98,33;95;97;93,75;99,17;100;97;96,25;A
100;95;97;95;96,67;100;95;95;A
100;97,5;91;88,75;94,17;97,5;94;95;A
91,67;95;94;87,5;90,83;97,5;98;91,25;A
96,67;77,5;84;96,25;93,33;86,25;88;95;A
95;95;77;82,5;88,33;95;93;87,5;A
96,67;90;89;88,75;80;91,25;93;83,75;A
85;90;78;83,75;87,5;97,5;98;81,25;A
93,33;85;83;86,25;80;87,5;93;91,25;A
96,67;87,5;85;78,75;84,17;92,5;86;78,75;A
85;85;86;75;77,5;80;77;75;B
93,33;97,5;99;88,75;93,33;95;98;93,75;A
93,33;97,5;89;76,25;83,33;87,5;90;80;A
71,67;85;64;93,75;89,17;87,5;86;80;B
76,67;70;74;81,25;78,33;87,5;87;91,25;B
80;80;67;73,75;80;86,25;72;90;B
100;95;90;100;91,67;100;96;95;A
90;92,5;95;90;97,5;97,5;96;93,75;A
100;100;93;96,25;91,67;97,5;73;98,75;A
90;85;91;85;91,67;95;97;73,75;A
83,33;87,5;85;76,25;83,33;86,25;88;91,25;B
81,67;72,5;74;80;81,67;73,75;86;87,5;B
91,67;70;67;92,5;74,17;67,5;73;86,25;B
76,67;65;57;78,75;93,33;80;70;71,25;B
65;72,5;58;75;85;78,75;80;80;B
91,67;75;59;70;56,67;76,25;70;73,75;B
76,67;72,5;61;60;46,67;76,25;68;78,75;C
78,33;75;70;77,5;69,17;72,5;69;76,25;B
93,33;85;98;91,25;85,83;90;95;95;A
86,67;92,5;92;85;92,5;83,75;100;95;A
95;75;77;72,5;62,5;81,25;91;78,75;B
91,67;87,5;82;75;60;62,5;83;86,25;B
86,67;77,5;74;73,75;71,67;77,5;90;81,25;B
85;87,5;92;71,25;70;76,25;79;67,5;B
76,67;77,5;95;81,25;65;86,25;84;81,25;B
96,66;82,5;86;87,5;88,33;97,5;88;98,75;A
91,67;85;82;91,25;79,17;90;89;88,75;A
93,33;100;98;98,75;82,5;85;97;93,75;A
80;80;82;71,25;70;77,5;65;83,75;B
85;72,5;57;77,5;80;65;55;55;C
76,67;60;54;75;41,67;78,75;59;82,5;C
100;85;77;82,5;75,83;97,5;93;83,75;A
98,33;97,5;97;91,25;96,67;98,75;96;95;A
80;77,5;61;63,75;60;73,75;62;75;C
100;87,5;96;88,75;94,17;96,25;94;97,5;A
95;92,5;82;95;89,17;90;89;87,5;A
93,33;82,5;92;83,75;75,83;86,25;84;95;A
83,33;85;76;78,75;80,83;98,75;82;92,5;B
68,33;62,5;49;73,75;78,33;87,5;82;63,75;B
93,33;77,5;87;81,25;79,17;90;82;86,25;B
86,67;85;79;76,25;82,5;88,75;86;86,25;B
81,67;80;82;73,75;64,17;70;79;81,25;B
78,33;67,5;61;70;67,5;66,25;71;87,5;B
86,67;70;66;53,75;50,83;77,5;74;71,25;C
68,33;67,5;57;75;65,83;76,25;66;68,75;C
87;83;76;84;83;72;82;82;B
91,3;97,125;92;91,25;98,33333333;93,75;95,83333333;98,78230616;A
92,68333333;86,025;98;87,5;89,16666667;95;92,70833333;97,46520875;A
84,38333333;83,25;86;72,5;96,66666667;77,5;97,91666667;94,83101392;A
95,45;91,575;73;88,75;99,16666667;92,5;98,95833333;96,14811133;A
96,83333333;99,9;92;87,5;96,66666667;96,25;98,95833333;94,83101392;A
95,45;86,025;88;80;91,66666667;88,75;85,41666667;93,5139165;A
99,6;91,575;95;93,75;99,16666667;97,5;97,91666667;98,78230616;A
95,45;88,8;92;88,75;95;92,5;98,95833333;82,97713718;A
94,06666667;91,575;81;93,75;95,83333333;93,75;83,33333333;88,24552684;A
94,06666667;91,575;83;93,75;98,33333333;92,5;95,83333333;88,24552684;A
96,83333333;94,35;92;97,5;95;100;97,91666667;100,0994036;A
95,45;97,125;90;93,75;94,16666667;100;94,79166667;94,83101392;A
94,06666667;97,125;97;96,25;96,66666667;93,75;96,875;100,0994036;A
96,83333333;97,125;98;95;98,33333333;97,5;94,79166667;94,83101392;A
96,83333333;97,125;79;87,5;84,16666667;86,25;79,16666667;93,5139165;A
95,45;94,35;96;86,25;93,33333333;97,5;93,75;93,5139165;A
85,76666667;69,375;91;73,75;75,83333333;96,25;96,875;61,90357853;B
98,21666667;83,25;95;90;98,33333333;96,25;76,04166667;96,14811133;A
99,6;83,25;97;82,5;94,16666667;98,75;93,75;93,5139165;A
94,06666667;77,7;98;93,75;96,66666667;100;97,91666667;100,0994036;A
87,15;94,35;90;70;90;91,25;85,41666667;97,46520875;A
89,91666667;99,9;87;93,75;96,66666667;98,75;97,91666667;97,46520875;A
91,3;97,125;91;93,75;97,5;100;100;98,78230616;A
83;58,275;83;62,5;76,66666667;87,5;96,875;85,61133201;B
95,45;80,475;79;67,5;80,83333333;98,75;91,66666667;97,46520875;A
96,83333333;94,35;87;96,25;97,5;93,75;94,79166667;90,87972167;A
99,6;99,9;86;85;93,33333333;92,5;89,58333333;98,78230616;A
99,6;94,35;100;87,5;92,5;98,75;95,83333333;96,14811133;A
96,83333333;94,35;100;86,25;99,16666667;100;97,91666667;98,78230616;A
96,83333333;94,35;98;95;99,16666667;98,75;94,79166667;92,19681909;A
99,6;94,35;100;96,25;98,33333333;100;95,83333333;98,78230616;A
99,6;97,125;95;93,75;93,33333333;98,75;94,79166667;90,87972167;A
91,3;91,575;78;70;78,33333333;97,5;100;89,56262425;A
98,21666667;91,575;88;95;99,16666667;97,5;100;90,87972167;A
98,21666667;88,8;86;87,5;89,16666667;91,25;97,91666667;93,5139165;A
95,45;94,35;94;93,75;96,66666667;97,5;93,75;100,0994036;A
96,83333333;91,575;96;88,75;93,33333333;92,5;96,875;94,83101392;A
98,21666667;97,125;97;93,75;97,5;98,75;91,66666667;92,19681909;A
99,6;94,35;100;98,75;98,33333333;100;100;97,46520875;A
60,86666667;55,5;57;61,25;71,66666667;61,25;48,95833333;56,63518887;C
84,38333333;99,9;70;75;77,5;78,75;86,45833333;82,97713718;B
98,21666667;97,125;97;95;100;93,75;98,95833333;98,78230616;A
96,83333333;88,8;87;87,5;90;97,5;98,95833333;97,46520875;A
96,83333333;97,125;95;97,5;99,16666667;96,25;100;94,83101392;A
80,23333333;80,475;84;78,75;99,16666667;98,75;96,875;98,78230616;A
89,91666667;80,475;84;86,25;80;86,25;84,375;57,95228628;B
99,6;99,9;97;87,5;96,66666667;100;98,95833333;94,83101392;A
99,6;94,35;99;97,5;100;98,75;98,95833333;100,0994036;A
